 -0.060,0.117,0.968,6.71,3.41,-2.98
 -0.054,0.138,0.991,2.11,0.40,-2.13
 -0.056,0.127,0.985,2.46,-0.31,-1.15
 -0.057,0.122,0.988,-4.88,6.21,-2.65
 -0.063,0.109,0.984,-9.82,0.97,9.22
 -0.058,0.116,0.999,-12.73,-0.37,11.25
 -0.057,0.094,0.995,-14.74,-2.86,26.51
 -0.041,0.076,0.980,-16.18,0.97,39.57
 -0.033,0.068,1.011,-15.66,10.73,41.92
 -0.008,0.042,0.970,0.52,6.78,4.15
 -0.004,0.031,1.003,-5.49,-0.11,-108.51
 -0.099,0.090,1.001,10.29,11.31,-143.70
 -0.160,0.072,0.989,21.39,10.53,-139.75
 -0.095,0.063,0.988,17.11,10.51,-119.40
 -0.168,0.068,0.959,12.61,9.24,-81.61
 -0.171,0.108,1.007,7.33,12.43,-64.70
 -0.142,0.062,0.975,3.38,3.37,-48.74
 -0.146,0.073,0.967,0.89,-14.33,-42.04
 -0.143,0.049,0.966,-5.76,-18.96,-41.39
 -0.104,0.032,0.959,-9.49,-15.85,-49.59
 -0.104,0.027,0.996,-9.20,-2.02,-42.97
 -0.122,0.006,0.983,-9.00,-4.03,-40.83
 -0.148,0.012,1.012,-12.84,-4.20,-34.78
 -0.131,-0.009,0.993,-9.74,0.37,-27.48
 -0.151,-0.012,1.003,-4.51,15.72,-22.26
 -0.140,-0.018,1.008,-2.71,17.78,-15.47
 -0.158,-0.019,0.989,-3.60,12.69,-8.66
 -0.157,-0.026,0.971,3.84,7.04,-5.69
 -0.189,-0.027,0.970,6.25,3.57,-2.50
 -0.174,-0.021,0.989,-0.82,3.83,-3.74
 -0.183,-0.033,0.974,-11.33,-5.07,-3.10
 -0.149,-0.055,0.953,-20.47,-25.05,-6.62
 -0.132,-0.096,0.967,-50.27,-27.14,-3.73
 -0.096,-0.183,0.946,-99.93,-34.40,4.22
 -0.112,-0.240,1.062,-94.27,-8.01,7.89
 -0.103,-0.303,0.953,-42.83,20.96,10.83
 -0.146,-0.297,0.976,-1.34,28.04,3.81
 -0.182,-0.274,0.979,34.14,31.02,10.20
 -0.185,-0.239,0.926,47.40,32.03,12.85
 -0.225,-0.182,0.929,63.59,19.36,16.07
 -0.257,-0.125,0.972,59.73,-1.93,26.42
 -0.198,-0.077,0.974,49.61,-8.91,28.67
 -0.211,-0.027,0.972,40.02,-9.59,20.99
 -0.202,-0.011,0.984,14.98,-6.59,5.58
 -0.184,-0.018,0.970,3.52,3.74,-0.12
 -0.227,-0.038,0.976,-1.40,35.61,-2.07
 -0.288,-0.018,0.965,-6.99,102.09,7.05
 -0.377,-0.013,0.928,-3.23,104.76,4.69
 -0.468,-0.021,0.902,0.92,104.86,-7.22
 -0.546,-0.001,0.811,14.96,67.24,-9.67
 -0.544,0.003,0.843,5.43,17.09,-2.10
 -0.542,-0.003,0.822,1.40,9.10,3.31
 -0.562,0.012,0.836,1.01,2.57,4.94
 -0.546,0.016,0.842,-1.00,-29.47,8.34
 -0.496,0.011,0.869,-1.38,-96.90,13.60
 -0.348,0.008,0.937,-6.01,-110.82,13.77
 -0.289,0.023,0.936,-7.27,-104.05,11.91
 -0.259,0.018,0.969,-4.27,-78.26,9.21
 -0.154,0.003,0.987,0.01,-48.03,0.51
 -0.173,0.017,0.990,1.31,-26.08,-3.64
 -0.125,0.008,0.982,1.92,-24.13,-1.49
 -0.133,0.023,0.989,2.72,-15.38,5.14
 -0.128,0.019,0.993,-3.09,-21.49,16.48
 -0.086,0.018,0.996,-11.19,-11.22,27.25
 -0.087,0.000,0.999,-17.17,-6.25,39.67
 -0.075,-0.008,1.007,-13.57,-21.11,53.94
 -0.007,-0.038,0.977,-13.44,-9.16,37.82
 -0.057,-0.039,0.988,-14.56,-8.36,17.33
 -0.059,-0.058,0.985,-18.57,-20.72,22.58
 0.008,-0.086,0.987,-28.37,-30.69,31.03
 0.020,-0.086,1.019,-28.13,-44.93,18.35
 0.051,-0.120,0.983,-16.56,-35.97,7.54
 0.068,-0.129,0.982,-5.34,-21.87,6.56
 0.072,-0.117,0.985,2.67,2.32,4.25
 0.058,-0.107,1.000,6.22,11.33,16.80
 0.046,-0.107,0.999,14.85,18.64,23.00
 0.057,-0.100,0.974,19.65,25.00,18.15
 0.036,-0.085,0.978,18.56,24.48,1.96
 -0.027,-0.053,0.995,16.55,22.87,-12.59
 -0.030,-0.035,0.987,15.12,15.88,-17.56
 -0.068,-0.056,0.977,8.83,12.20,7.49
 -0.072,-0.045,0.978,-1.05,7.92,45.81
 -0.099,-0.016,1.010,4.44,24.36,101.29
 -0.088,-0.012,0.992,27.21,14.60,113.24
 -0.084,0.030,1.009,24.19,14.43,77.61
 -0.079,0.040,1.017,11.64,-3.97,86.03
 -0.148,0.036,0.983,-6.77,6.72,84.40
 0.012,0.006,1.180,-52.96,-5.85,100.59
 -0.062,-0.028,1.015,-38.97,-11.68,90.68
 -0.097,-0.045,0.943,-25.04,-5.23,72.02
 -0.072,-0.062,1.009,-35.57,-14.86,67.02
 -0.096,-0.070,0.984,-27.69,-12.78,80.71
 -0.041,-0.075,1.024,-16.63,-10.77,70.69
 -0.089,-0.094,0.970,-3.46,-16.67,65.48
 -0.048,-0.089,0.911,3.39,-14.78,77.64
 -0.051,-0.068,0.970,7.65,-0.94,47.13
 -0.062,-0.052,0.998,11.09,-4.17,57.25
 -0.092,-0.050,0.971,19.96,-3.54,62.67
 -0.024,-0.018,1.020,10.69,9.61,61.39
 -0.055,-0.006,1.010,14.03,12.56,52.00
 -0.050,-0.007,0.991,10.30,5.92,54.76
